id,Q3,Q3B1,Q3B2,Q3B3,Q4,Q4A01,Q4A02,Q4A03,Q4A04,Q4A05,Q4A06,Q4A07,Q4A08,Q4A09,Q4A10,Q4A11,Q4A12,Q4A13,Q4A14,Q4A15,Q4A16,Q4A17,Q4B1,Q4B2,Q4B3,Q5A01,Q5A02,Q5A03,Q5A04,Q5A05,Q5A06,Q5A07,Q5A08,Q5A09,Q5A10,Q5A11,Q5A12,Q5A13,Q5A14,Q5A15,Q5A16,Q5A17,Q2a1,Q2a2,RQ2A2,Q11A$01,총액1인TOT,Q7,Q7_01,Q7_02,D_MON,D_MON_season,D_NAT,D_NAT_GROUP,D_SEX,D_AGE
276.0,4.0,,,,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,11.0,,,,15.0,,,3.0,1.0,2.0,1.0,,,,,,,,,,11.0,,13.0,14.0,,,17.0,150,151,14.00,,5677.50,5.0,1.0,1.0,1.00,4.00,13.00,2.00,2.00,2.00
283.0,4.0,,,,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,11.0,,,,15.0,,,4.0,5.0,1.0,1.0,,,,,,,,,10.0,11.0,,13.0,14.0,,,17.0,150,151,14.00,,6245.25,5.0,1.0,1.0,1.00,4.00,13.00,2.00,2.00,2.00
286.0,4.0,,,,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,1.0,2.0,3.0,1.0,,,,,,,,,,,,13.0,,,,,150,151,14.00,1.00,15000.00,5.0,1.0,1.0,1.00,4.00,13.00,2.00,1.00,2.00
289.0,2.0,13.0,,,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,12.0,,,,,,4.0,5.0,6.0,1.0,,,,,,,,,,,,,,,,,30,31,12.00,,2271.00,5.0,1.0,1.0,1.00,4.00,13.00,2.00,1.00,2.00
300.0,4.0,,,,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,14.0,15.0,16.0,,1.0,3.0,2.0,,,,,,,,,,,,,13.0,,,,,150,151,14.00,,4710.00,5.0,1.0,1.0,1.00,4.00,2.00,1.00,2.00,2.00
306.0,3.0,,,,1.0,1.0,,,,,,,,,,,,,14.0,,,,14.0,1.0,,,,,,,,,,,,,,13.0,,,,,5,6,2.00,1.00,2271.00,4.0,1.0,0.0,1.00,4.00,97.00,4.00,1.00,5.00
312.0,1.0,5.0,4.0,,1.0,,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,4.0,6.0,5.0,1.0,,,,,,,,,,,,,,,,,89,90,13.00,,10219.50,5.0,1.0,1.0,1.00,4.00,13.00,2.00,1.00,2.00
321.0,4.0,,,,1.0,,2.0,3.0,4.0,,,,,,,,,,,,,,3.0,2.0,4.0,1.0,,,4.0,5.0,,,,,,,,,,,,,300,301,14.00,1.00,8234.65,5.0,1.0,1.0,1.00,4.00,18.00,1.00,2.00,2.00
324.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,3.0,4.0,5.0,6.0,,,,,,,,,,,,2.0,3.0,4.0,1.0,,,,,,,,,,,,,,,,,29,30,11.00,1.00,785.00,5.0,1.0,1.0,1.00,4.00,2.00,1.00,1.00,2.00
327.0,1.0,13.0,11.0,,1.0,,2.0,,4.0,,6.0,,,,,,,,,,,,4.0,6.0,2.0,1.0,,,,,,,,,,,,,,,,,39,40,12.00,,2838.75,5.0,1.0,1.0,1.00,4.00,97.00,4.00,1.00,5.00
